,index,pp01,year,month,ten_days,stno
7,,0.0,1993.0,3.0,1,C1X090
9,,43.5,1993.0,3.0,2,C1X090
11,,0.0,1993.0,3.0,3,C1X090
13,,17.5,1993.0,4.0,1,C1X090
15,,1.0,1993.0,4.0,2,C1X090
17,,41.0,1993.0,4.0,3,C1X090
19,,21.5,1993.0,5.0,1,C1X090
21,,0.0,1993.0,5.0,2,C1X090
23,,238.0,1993.0,5.0,3,C1X090
25,,289.5,1993.0,6.0,1,C1X090
27,,161.0,1993.0,6.0,2,C1X090
29,,17.0,1993.0,6.0,3,C1X090
31,,0.0,1993.0,7.0,1,C1X090
33,,39.5,1993.0,7.0,2,C1X090
35,,95.0,1993.0,7.0,3,C1X090
37,,19.5,1993.0,8.0,1,C1X090
39,,67.0,1993.0,8.0,2,C1X090
41,,6.5,1993.0,8.0,3,C1X090
43,,0.0,1993.0,9.0,1,C1X090
45,,2.5,1993.0,9.0,2,C1X090
47,,73.0,1993.0,9.0,3,C1X090
49,,0.0,1993.0,10.0,1,C1X090
51,,0.0,1993.0,10.0,2,C1X090
53,,0.0,1993.0,10.0,3,C1X090
55,,0.0,1993.0,11.0,1,C1X090
57,,24.0,1993.0,11.0,2,C1X090
59,,7.5,1993.0,11.0,3,C1X090
61,,0.0,1993.0,12.0,1,C1X090
63,,4.5,1993.0,12.0,2,C1X090
65,,0.0,1993.0,12.0,3,C1X090
1,,2.5,1994.0,1.0,1,C1X090
3,,5.5,1994.0,1.0,2,C1X090
5,,8.5,1994.0,1.0,3,C1X090
7,,0.0,1994.0,2.0,1,C1X090
9,,82.5,1994.0,2.0,2,C1X090
11,,1.5,1994.0,2.0,3,C1X090
13,,3.5,1994.0,3.0,1,C1X090
15,,22.0,1994.0,3.0,2,C1X090
17,,0.0,1994.0,3.0,3,C1X090
19,,0.0,1994.0,4.0,1,C1X090
21,,0.5,1994.0,4.0,2,C1X090
23,,13.0,1994.0,4.0,3,C1X090
25,,40.5,1994.0,5.0,1,C1X090
27,,8.0,1994.0,5.0,2,C1X090
29,,121.5,1994.0,5.0,3,C1X090
31,,40.0,1994.0,6.0,1,C1X090
33,,41.5,1994.0,6.0,2,C1X090
35,,2.0,1994.0,6.0,3,C1X090
37,,34.0,1994.0,7.0,1,C1X090
39,,136.0,1994.0,7.0,2,C1X090
41,,6.5,1994.0,7.0,3,C1X090
43,,478.0,1994.0,8.0,1,C1X090
45,,401.0,1994.0,8.0,2,C1X090
47,,16.5,1994.0,8.0,3,C1X090
49,,22.0,1994.0,9.0,1,C1X090
51,,1.5,1994.0,9.0,2,C1X090
53,,0.0,1994.0,9.0,3,C1X090
55,,3.0,1994.0,10.0,1,C1X090
57,,0.0,1994.0,10.0,2,C1X090
59,,0.0,1994.0,10.0,3,C1X090
61,,0.0,1994.0,11.0,1,C1X090
63,,0.0,1994.0,11.0,2,C1X090
65,,1.0,1994.0,11.0,3,C1X090
67,,0.0,1994.0,12.0,1,C1X090
69,,0.0,1994.0,12.0,2,C1X090
71,,6.5,1994.0,12.0,3,C1X090
1,,0.5,1995.0,1.0,1,C1X090
3,,0.0,1995.0,1.0,2,C1X090
5,,5.0,1995.0,1.0,3,C1X090
7,,0.0,1995.0,2.0,1,C1X090
9,,23.0,1995.0,2.0,2,C1X090
11,,1.5,1995.0,2.0,3,C1X090
13,,16.5,1995.0,3.0,1,C1X090
15,,0.0,1995.0,3.0,2,C1X090
17,,3.5,1995.0,3.0,3,C1X090
19,,40.0,1995.0,4.0,1,C1X090
21,,0.0,1995.0,4.0,2,C1X090
23,,0.0,1995.0,4.0,3,C1X090
25,,22.5,1995.0,5.0,1,C1X090
27,,53.5,1995.0,5.0,2,C1X090
29,,3.0,1995.0,5.0,3,C1X090
31,,171.5,1995.0,6.0,1,C1X090
33,,100.0,1995.0,6.0,2,C1X090
35,,13.5,1995.0,6.0,3,C1X090
37,,146.5,1995.0,7.0,1,C1X090
39,,27.0,1995.0,7.0,2,C1X090
41,,149.0,1995.0,7.0,3,C1X090
43,,10.5,1995.0,8.0,1,C1X090
45,,0.0,1995.0,8.0,2,C1X090
47,,23.0,1995.0,8.0,3,C1X090
49,,0.0,1995.0,9.0,1,C1X090
51,,38.0,1995.0,9.0,2,C1X090
53,,49.0,1995.0,9.0,3,C1X090
55,,0.5,1995.0,10.0,1,C1X090
57,,0.0,1995.0,10.0,2,C1X090
59,,0.0,1995.0,10.0,3,C1X090
